"","rent","bedroom","livingroom","bathroom","area","room","floor_grp","subway","region","heating"
"117",2559,2,1,1,13,"次卧","中楼层","是","通州","自采暖"
"118",2885,3,1,1,18,"主卧","中楼层","是","丰台","自采暖"
"119",2692,3,1,1,9,"次卧","中楼层","是","昌平","集中供暖"
"120",4530,2,1,1,16,"主卧","低楼层","是","海淀","集中供暖"
"121",3488,4,1,1,21,"主卧","低楼层","是","朝阳","集中供暖"
"122",1975,4,1,1,12,"主卧","高楼层","否","顺义","集中供暖"
"123",2798,2,1,1,14,"主卧","低楼层","是","通州","自采暖"
"124",2725,3,1,1,11,"次卧","高楼层","否","朝阳","集中供暖"
"125",2676,3,1,1,13,"主卧","低楼层","是","大兴","集中供暖"
"126",2619,2,1,1,10,"次卧","低楼层","是","通州","集中供暖"
"127",2597,2,1,1,10,"主卧","高楼层","是","通州","集中供暖"
"128",2827,4,1,1,12,"次卧","高楼层","是","朝阳","集中供暖"
"129",3059,2,1,1,14,"主卧","中楼层","是","石景山","集中供暖"
"130",3108,2,1,1,13,"主卧","低楼层","是","昌平","集中供暖"
"131",2553,2,1,1,11,"次卧","低楼层","是","通州","集中供暖"
"132",4234,3,1,1,12,"次卧","低楼层","是","朝阳","集中供暖"
"133",2453,3,1,1,12,"次卧","低楼层","是","大兴","集中供暖"
"134",2686,4,1,1,12,"次卧","高楼层","是","顺义","自采暖"
"135",2446,2,1,1,10,"次卧","中楼层","是","通州","集中供暖"
"136",3031,3,1,1,8,"次卧","低楼层","是","海淀","自采暖"
"137",2635,4,1,1,9,"次卧","高楼层","是","昌平","集中供暖"
"138",3231,4,1,1,11,"次卧","低楼层","是","朝阳","集中供暖"
"139",2890,4,1,1,7,"次卧","中楼层","是","朝阳","集中供暖"
"140",3119,4,1,1,8,"次卧","中楼层","是","朝阳","集中供暖"
"141",1975,3,1,1,12,"主卧","低楼层","是","房山","自采暖"
"142",3943,4,1,1,16,"主卧","中楼层","是","朝阳","集中供暖"
