剧名,类型,播放量,点赞,差评,得分,采集日期
烧脑,"网络剧
/
偶像剧",324万,"1,714","1,421",5.5,2015-9-23 23:49:43
剧场,言情剧,1532万,"4,195","2,085",6.7,2015-9-23 23:49:43
爱情公寓番外篇,网络剧,2.37亿,"199,136","27,477",8.8,2015-9-23 23:49:44
特警力量,"罪案剧
/
军旅剧",20.18亿,"639,579","73,670",9.0,2015-9-23 23:49:43
虎妈猫爸,"喜剧
/
青春剧
/
家庭剧
/
言情剧
/
偶像剧",17.01亿,"563,084","134,546",8.1,2015-9-23 23:49:44
聊斋新编,"神话剧
/
古装剧",4.54亿,"151,373","40,165",7.9,2015-9-23 23:49:44
爱你一生,"年代剧

/
言情剧",5206万,"10,013","4,164",7.1,2015/9/23 23:49:46
于无声处,"罪案剧
/
年代剧",1.31亿,"29,885","8,669",7.8,2015-9-23 23:49:55
暖男的爱情与战争,家庭剧,3097万,"6,306","3,437",6.5,2015-9-23 23:49:54
天使的城,言情剧,4.18亿,"206,715","28,410",8.8,2015-9-23 23:49:54
我的抗战之铁血轻奇兵,军旅剧,1.05亿,"20,493","5,672",7.8,2015-9-23 23:49:56
聊斋新编未删减版,"神话剧

/
古装剧",4891万,"12,907","2,706",8.3,2015-9-23 23:49:56
男神经,"喜剧
/
网络剧",1194万,"6,504","1,676",8.0,2015-9-23 23:49:57
寒冬,"谍战剧
/
年代剧",9641万,"29,732","4,585",8.7,2015-9-23 23:49:56
麻雀春天,"悬疑剧

/
年代剧

/
言情剧",3783万,"7,431","3,469",6.8,2015-9-23 23:49:57
嘿，老头！,null,2.75亿,"148,242","20,700",8.8,2015-9-23 23:49:57
快乐00后第2季,网络剧,134万,"1,323",792,6.3,2015/9/23 23:49:59
猜拳,"悬疑剧

/
谍战剧",6915万,"10,144","5,310",6.6,2015-9-23 23:50:09
淑女之家,"家庭剧
/
言情剧
/
年代剧
/
悬疑剧",1.45亿,"122,064","16,222",8.8,2015-9-23 23:50:07
石敢当之雄峙天东,"武侠剧
/
古装剧",3.81亿,"200,572","60,041",7.7,2015-9-23 23:50:07
我的美女老师,"青春剧
/
偶像剧
/
科幻剧
/
言情剧
/
网络剧",2.21亿,"193,695","52,520",7.9,2015-9-23 23:50:09
我的二哥二嫂,"农村剧

/
年代剧

/
家庭剧",2.37亿,"54,008","23,218",7.0,2015-9-23 23:50:09
好男儿之情感护理,null,3230万,"12,581","3,073",8.0,2015-9-23 23:50:09
嘿！真不是闹着玩的,"农村剧

/
喜剧",7235万,"41,982","8,140",8.4,2015-9-23 23:50:10
家有一老,家庭剧,6412万,"23,022","10,426",6.9,2015-9-23 23:50:11
快乐00后第1季,网络剧,115万,"1,121",573,6.6,2015-9-23 23:50:10
活色生香陈伟霆cut集锦,"言情剧
/
年代剧
/
偶像剧",150万,"3,155",700,8.2,2015/9/23 23:50:12
李大白的道德经,"喜剧
/
网络剧",75.5万,550,371,6.0,2015-9-23 23:50:22
血刃,"军旅剧

/
谍战剧",7919万,"14,645","6,613",6.9,2015-9-23 23:50:20
白衣校花与大长腿2番外篇,"言情剧

/
偶像剧",1002万,"16,448","8,198",6.7,2015-9-23 23:50:20
活色生香,"青春剧
/
言情剧
/
年代剧
/
偶像剧",8.23亿,"1,051,691","113,585",9.0,2015-9-23 23:50:22
白衣校花与大长腿2,"青春剧
/
言情剧
/
偶像剧",2.05亿,"215,399","65,093",7.7,2015-9-23 23:50:22
东江英雄刘黑仔,"青春剧

/
谍战剧",1.46亿,"45,531","9,253",8.3,2015-9-23 23:50:23
我的青春道馆,"网络剧
/
喜剧",169万,"1,823",828,6.9,2015-9-23 23:50:23
成人记2,"偶像剧
/
网络剧
/
青春剧",390万,"4,785","1,679",7.4,2015-9-23 23:50:24
活色生香未删减版,"偶像剧
/
年代剧
/
言情剧
/
青春剧",2.81亿,"61,594","11,458",8.4,2015-9-23 23:50:22
终极对决,军旅剧,8950万,"62,120","22,896",7.3,2015/9/23 23:50:39
南侨机工英雄传,年代剧,3913万,"26,721","7,532",7.8,2015-9-23 23:50:40
地雷战,"军旅剧

/
历史剧",1.36亿,"91,036","23,790",7.9,2015-9-23 23:50:40
伪装者未删减版,"谍战剧
/
悬疑剧",3330万,"36,487","5,187",8.8,2015-9-23 23:50:43
蜀山战纪第1季,"言情剧
/
武侠剧
/
古装剧
/
偶像剧",3247万,"240,105","31,037",8.9,2015-9-23 23:50:45
云中歌,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",2.54亿,"505,556","115,430",8.1,2015-9-23 23:50:47
大汉情缘之云中歌未删减版,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧",1360万,"23,264","3,455",8.7,2015-9-23 23:50:47
冲出月亮岛,"言情剧

/
年代剧",3118万,"22,767","8,593",7.3,2015-9-23 23:50:47
涩世纪传说,"青春剧
/
言情剧
/
网络剧
/
偶像剧
/
科幻剧",4.70亿,"1,603,968","131,354",9.2,2015/9/23 23:50:52
二十四道拐,"谍战剧

/
军旅剧",3950万,"20,200","6,549",7.6,2015-9-23 23:50:48
春江英雄之秀才遇到兵,"言情剧
/
谍战剧",5.86亿,"711,337","97,470",8.8,2015-9-23 23:50:53
卧底,"谍战剧

/
军旅剧",1.10亿,"65,389","19,809",7.7,2015-9-23 23:50:50
铁甲舰上的男人们DVD版,历史剧,90.5万,620,280,6.9,2015-9-23 23:50:53
克拉之恋,"青春剧

/
言情剧

/
偶像剧",7361万,"202,020","27,749",8.8,2015-9-23 23:50:56
美剧,"喜剧
/
罪案剧",560万,"9,912","4,148",7.0,2015-9-23 23:50:58
星空中的潘朵拉,"言情剧
/
偶像剧
/
网络剧",462万,"4,536","3,909",5.4,2015-9-23 23:51:00
红色青橄榄,"青春剧

/
网络剧

/
偶像剧

/
悬疑剧",1136万,"73,884",548,9.9,2015-9-23 23:51:00
太行山上,"历史剧

/
军旅剧",9505万,"60,956","17,842",7.7,2015-9-23 23:51:01
我的绝密生涯,"年代剧
/
谍战剧
/
悬疑剧",4919万,"25,442","7,290",7.8,2015-9-23 23:51:01
我的天啊第2季,"网络剧

/
喜剧",342万,952,"2,898",2.5,2015-9-23 23:51:06
冰与火的青春未删减版,"言情剧

/
偶像剧",331万,"2,978","1,336",6.9,2015-9-23 23:51:03
错伏,谍战剧,2265万,"8,659","4,245",6.7,2015-9-23 23:51:06
爸爸父亲爹,"军旅剧
/
谍战剧",1.34亿,"59,127","22,815",7.2,2015-9-23 23:51:09
今天很上火之奇葩相亲,"喜剧

/
网络剧",546万,"2,377","2,348",5.0,2015-9-23 23:51:11
抉择,历史剧,2636万,"8,201","3,672",6.9,2015-9-23 23:51:14
我的宝贝,"言情剧
/
偶像剧",3.18亿,"182,423","52,221",7.8,2015-9-23 23:51:14
马上天下,军旅剧,1.42亿,"34,520","14,454",7.0,2015/9/23 23:51:05
罗龙镇女人,年代剧,2.67亿,"76,309","27,640",7.3,2015-9-23 23:51:14
火线英雄,军旅剧,2747万,"15,295","4,381",7.8,2015-9-23 23:51:16
玩的就是艳遇,"喜剧

/
青春剧

/
网络剧",509万,"7,685","5,871",5.7,2015-9-23 23:51:13
劫中劫,谍战剧,8704万,"16,314","7,137",7.0,2015/9/23 23:51:19
离婚协议,null,3926万,"8,588","4,884",6.4,2015-9-23 23:51:19
壮丁也是兵,军旅剧,2.25亿,"44,946","17,907",7.2,2015-9-23 23:51:19
空巢姥爷,"家庭剧

/
言情剧",3493万,"10,131","3,114",7.6,2015-9-23 23:51:22
前夫求爱记,"喜剧
/
言情剧",1.91亿,"56,148","17,170",7.7,2015-9-23 23:51:24
待嫁老爸,"言情剧

/
家庭剧",1.25亿,"33,445","6,655",8.3,2015-9-23 23:51:29
二婶,"家庭剧
/
言情剧",9467万,"22,003","10,476",6.8,2015-9-23 23:51:27
玩转APP,"喜剧

/
网络剧",1940万,413,348,5.4,2015-9-23 23:51:27
坐88路车回家,言情剧,7898万,"16,262","4,694",7.8,2015/9/23 23:51:32
刑警队长,罪案剧,2.79亿,"77,237","16,316",8.3,2015-9-23 23:51:27
女人的抗战未删减版,谍战剧,784万,"1,507","1,109",5.8,2015-9-23 23:51:32
抓住彩虹的男人,"言情剧
/
偶像剧
/
悬疑剧",5.95亿,"252,088","65,950",7.9,2015-9-23 23:51:29
下一站婚姻,"家庭剧
/
言情剧",4.41亿,"116,346","38,592",7.5,2015-9-23 23:51:32
傲魂之活死人,"网络剧

/
悬疑剧",3744万,"11,050","1,805",8.6,2015-9-23 23:51:35
末代皇帝传奇,"历史剧

/
宫廷剧",7789万,"24,757","4,509",8.5,2015-9-23 23:51:37
女人的抗战,谍战剧,7469万,"12,155","3,338",7.8,2015-9-23 23:51:42
出关未删减版,null,509万,"1,007",552,6.5,2015-9-23 23:51:40
婚前协议,"家庭剧

/
言情剧",1.46亿,"29,624","16,223",6.5,2015-9-23 23:51:40
爱的秘笈,"偶像剧

/
言情剧",1.22亿,"52,948","5,521",9.1,2015-9-23 23:51:40
出关,null,4431万,"9,771","4,086",7.1,2015-9-23 23:51:45
伙伴夫妻,"言情剧

/
家庭剧",6477万,"10,363","4,986",6.8,2015-9-23 23:51:42
别让我看见,"悬疑剧

/
言情剧",5725万,"24,900","5,120",8.3,2015-9-23 23:51:45
不能没有家,"家庭剧

/
言情剧",2764万,"7,207","3,575",6.7,2015-9-23 23:51:48
锦绣缘华丽冒险未删减版,"言情剧

/
年代剧

/
偶像剧",3191万,"18,041","4,433",8.0,2015-9-23 23:51:51
大村官之放飞梦想,农村剧,5245万,"16,692","6,203",7.3,2015-9-23 23:51:53
突围突围,言情剧,8071万,"19,912","7,582",7.2,2015-9-23 23:51:53
铁核桃,"年代剧

/
谍战剧",2.45亿,"54,871","18,420",7.5,2015/9/23 23:51:45
如果爱可以重来,"言情剧
/
偶像剧",7114万,"38,823","12,121",7.6,2015-9-23 23:51:53
我爷爷和奶奶的故事,"军旅剧
/
言情剧",4753万,"10,731","3,455",7.6,2015-9-23 23:51:55
九星天辰诀,"古装剧
/
网络剧",2980万,"28,908","20,672",5.8,2015-9-23 23:51:55
好大一个家,家庭剧,1.28亿,"60,087","11,847",8.4,2015/9/23 23:51:58
千金女贼未删减版,"年代剧

/
偶像剧",3956万,"31,415","8,088",8.0,2015-9-23 23:51:58
千金女贼,"言情剧
/
年代剧
/
偶像剧",13.95亿,"976,095","154,947",8.6,2015-9-23 23:51:58
战魂,军旅剧,1.34亿,"38,985","9,281",8.1,2015-9-23 23:52:01
长大,"青春剧
/
言情剧",4.19亿,"386,149","52,054",8.8,2015-9-23 23:52:04
杀寇决,"悬疑剧

/
谍战剧

/
历史剧",1.23亿,"37,300","9,027",8.1,2015-9-23 23:52:06
