剧名,类型,播放量,点赞,差评,得分,采集日期
玩的就是艳遇,"喜剧

/
青春剧

/
网络剧",518万,"7,773","5,950",5.7,2015-9-30 1:07:01
南侨机工英雄传,年代剧,4786万,"31,130","8,202",7.9,2015-9-30 1:07:07
壮丁也是兵,军旅剧,2.25亿,"45,310","17,859",7.2,2015-9-30 1:07:05
前夫求爱记未删减版,喜剧,1578万,"4,312","1,768",7.1,2015/9/30 1:07:06
抉择,历史剧,2649万,"8,250","3,706",6.9,2015-9-30 1:07:17
空巢姥爷,"家庭剧

/
言情剧",3518万,"10,300","3,182",7.6,2015/9/30 1:07:13
前夫求爱记,"喜剧
/
言情剧",1.92亿,"56,360","17,277",7.7,2015-9-30 1:07:13
待嫁老爸,"言情剧

/
家庭剧",1.26亿,"33,698","6,801",8.3,2015-9-30 1:07:14
出关,null,4445万,"9,717","4,229",7.0,2015-9-30 1:07:13
红色青橄榄,"青春剧

/
网络剧

/
偶像剧

/
悬疑剧",1177万,"74,455",544,9.9,2015-9-30 1:07:21
律师岳家军,网络剧,536万,"1,597",790,6.7,2015/9/30 1:07:19
下一站婚姻,"家庭剧
/
言情剧",4.42亿,"117,964","38,642",7.5,2015-9-30 1:07:18
傲魂之活死人,"网络剧

/
悬疑剧",3765万,"11,334","1,760",8.7,2015/9/30 1:07:27
末代皇帝传奇,"历史剧

/
宫廷剧",7820万,"24,886","4,670",8.4,2015-9-30 1:07:26
我的宝贝,"言情剧
/
偶像剧",3.20亿,"184,570","52,101",7.8,2015/9/30 1:07:19
女人的抗战,谍战剧,7486万,"12,168","3,413",7.8,2015-9-30 1:07:27
千金女贼,"言情剧
/
年代剧
/
偶像剧",13.97亿,"978,671","155,155",8.6,2015-9-30 1:07:26
泪洒女人花,"言情剧

/
年代剧",2.00亿,"61,205","38,793",6.1,2015/9/30 1:07:32
别让我看见,"言情剧

/
悬疑剧",5735万,"24,866","5,185",8.3,2015-9-30 1:07:31
二婶,"家庭剧
/
言情剧",9556万,"22,600","10,730",6.8,2015-9-30 1:07:30
玩转APP,"喜剧

/
网络剧",1941万,421,349,5.5,2015/9/30 1:07:32
罗龙镇女人,年代剧,2.68亿,"77,189","27,742",7.4,2015-9-30 1:07:34
出关未删减版,null,525万,"1,024",562,6.5,2015-9-30 1:07:44
不能没有家,"家庭剧

/
言情剧",2786万,"7,236","3,619",6.7,2015/9/30 1:07:40
婚前协议,"家庭剧

/
言情剧",1.46亿,"29,777","16,370",6.5,2015/9/30 1:07:45
锦绣缘华丽冒险未删减版,"言情剧

/
年代剧

/
偶像剧",3223万,"18,407","4,574",8.0,2015-9-30 1:07:39
九星天辰诀,"古装剧
/
网络剧",3025万,"29,922","21,402",5.8,2015-9-30 1:07:40
刑警队长,罪案剧,2.81亿,"78,164","17,396",8.2,2015-9-30 1:07:48
光影,"军旅剧

/
年代剧",1.67亿,"49,324","15,258",7.6,2015/9/30 1:07:45
战魂,军旅剧,1.35亿,"39,438","9,260",8.1,2015/9/30 1:07:53
大村官之放飞梦想,农村剧,5286万,"16,893","6,178",7.3,2015-9-30 1:07:58
千金女贼未删减版,"年代剧

/
偶像剧",3982万,"31,687","8,125",8.0,2015-9-30 1:07:44
突围突围,言情剧,8094万,"20,066","7,529",7.3,2015/9/30 1:07:58
蜀山战纪第1季,"言情剧
/
武侠剧
/
古装剧
/
偶像剧",9702万,"530,146","86,408",8.6,2015-9-30 1:07:58
爱的秘笈,"偶像剧

/
言情剧",1.23亿,"53,195","5,827",9.0,2015-9-30 1:08:01
大刀记,军旅剧,2.69亿,"59,764","22,158",7.3,2015-9-30 1:07:53
长大,"青春剧
/
言情剧",4.20亿,"387,417","52,227",8.8,2015-9-30 1:07:52
二十四道拐,"谍战剧

/
军旅剧",5494万,"26,677","8,984",7.5,2015/9/30 1:08:12
冲出月亮岛,"言情剧

/
年代剧",3747万,"26,255","9,579",7.3,2015-9-30 1:08:12
太行山上,"历史剧

/
军旅剧",9665万,"61,782","18,053",7.7,2015-9-30 1:08:12
如果爱可以重来,"言情剧
/
偶像剧",7131万,"38,935","12,194",7.6,2015-9-30 1:08:14
杀寇决,"历史剧

/
谍战剧

/
悬疑剧",1.24亿,"37,655","8,997",8.1,2015-9-30 1:08:11
猎魔,"军旅剧

/
历史剧

/
谍战剧",5812万,"11,925","7,017",6.3,2015/9/30 1:08:11
卧底,"谍战剧

/
军旅剧",1.26亿,"71,975","21,840",7.7,2015-9-30 1:08:20
冰与火的青春未删减版,"言情剧

/
偶像剧",365万,"3,165","1,430",6.9,2015/9/30 1:08:25
我的绝密生涯,"年代剧
/
谍战剧
/
悬疑剧",5035万,"25,907","7,434",7.8,2015-9-30 1:08:26
火线英雄,军旅剧,2765万,"15,523","4,294",7.8,2015-9-30 1:08:26
我们家的微幸福生活,"家庭剧

/
言情剧",3441万,"13,543","3,855",7.8,2015-9-30 1:08:27
克拉恋人未删减版,"言情剧

/
偶像剧",1709万,"26,387","11,772",6.9,2015-9-30 1:08:33
抓住彩虹的男人,"言情剧
/
偶像剧
/
悬疑剧",5.96亿,"254,275","65,364",8.0,2015-9-30 1:08:39
偏偏喜欢你,"军旅剧
/
年代剧
/
偶像剧",10.87亿,"660,713","153,726",8.1,2015/9/30 1:08:38
wait酒吧,"喜剧

/
网络剧",385万,"2,230","4,434",3.3,2015-9-30 1:08:39
偏偏喜欢你未删减版,"偶像剧
/
年代剧
/
军旅剧",3701万,"25,211","5,958",8.1,2015-9-30 1:08:46
绝地刀锋,"军旅剧

/
谍战剧",1.27亿,"23,610","8,171",7.4,2015/9/30 1:08:51
婚姻时差,"家庭剧
/
言情剧",1.03亿,"22,079","9,341",7.0,2015-9-30 1:08:52
伙伴夫妻,"言情剧

/
家庭剧",6512万,"10,347","5,173",6.7,2015-9-30 1:08:52
少年四大名捕陈伟霆cut集锦,"言情剧

/
武侠剧

/
古装剧

/
偶像剧

/
悬疑剧",352万,"4,667","1,554",7.5,2015-9-30 1:09:00
南方怂人帮,"网络剧

/
喜剧",81.0万,514,492,5.1,2015/9/30 1:09:04
铁甲舰上的男人们,历史剧,4083万,"10,146","1,036",9.1,2015-9-30 1:09:05
我爷爷和奶奶的故事,"军旅剧
/
言情剧",4782万,"10,880","3,426",7.6,2015-9-30 1:09:06
王大花的革命生涯,"谍战剧
/
喜剧",2.69亿,"63,086","19,723",7.6,2015-9-30 1:09:13
隋唐英雄5TV版,古装剧,6840万,"36,789","7,802",8.3,2015/9/30 1:09:18
锦绣缘华丽冒险,"言情剧
/
年代剧
/
偶像剧",11.45亿,"952,444","160,607",8.6,2015-9-30 1:09:18
宅男的恋爱养成,"网络剧
/
喜剧",135万,"1,201",654,6.5,2015-9-30 1:09:19
封神英雄,"神话剧
/
武侠剧
/
古装剧",7.76亿,"628,528","141,876",8.2,2015-9-30 1:09:26
陆小凤与花满楼,"武侠剧
/
古装剧",3.29亿,"132,093","26,322",8.3,2015/9/30 1:09:31
别叫我兄弟,"青春剧

/
言情剧

/
年代剧",1.71亿,"70,163","15,618",8.2,2015-9-30 1:09:31
邻居也疯狂,"家庭剧

/
喜剧",1.03亿,"52,671","9,785",8.4,2015-9-30 1:09:39
明若晓溪,"青春剧
/
言情剧
/
偶像剧",2.53亿,"739,773","100,181",8.8,2015/10/1 1:02:24
我是机器人,"偶像剧

/
喜剧",4987万,"79,715","8,214",9.1,2015-10-1 1:02:25
琅琊榜,"历史剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",5.02亿,"1,078,219","45,127",9.6,2015-10-1 1:02:26
孤雁,"言情剧

/
年代剧",633万,"4,157","2,437",6.3,2015-10-1 1:02:26
青春集结号,"青春剧
/
军旅剧",172万,"4,513","1,226",7.9,2015-10-1 1:02:25
多情江山,"宫廷剧
/
言情剧
/
古装剧",1.23亿,"133,099","39,252",7.7,2015-10-1 1:02:27
嘻哈白蛇传,"喜剧
/
网络剧",1957万,"71,865","25,416",7.4,2015-10-1 1:02:38
男神执事团,"偶像剧
/
青春剧
/
网络剧",4121万,"228,832","15,594",9.4,2015-10-1 1:02:39
铁在烧,"军旅剧
/
言情剧
/
谍战剧",4.39亿,"296,455","71,510",8.1,2015-10-1 1:02:39
毕业歌,年代剧,3352万,"38,903","9,574",8.0,2015-10-1 1:02:38
少年四大名捕冷血张翰特辑,"古装剧
/
偶像剧
/
悬疑剧",830万,"8,996","1,649",8.5,2015-10-1 1:02:40
左手劈刀,军旅剧,3.00亿,"157,916","54,762",7.4,2015/10/1 1:02:38
夺宝传奇,"年代剧

/
悬疑剧",1928万,"16,706","5,022",7.7,2015-10-1 1:02:45
小爸妈,"家庭剧

/
言情剧

/
偶像剧",2.21亿,"192,797","53,916",7.8,2015-10-1 1:02:52
大舜,"历史剧

/
古装剧",1.42亿,"141,034","43,901",7.6,2015-10-1 1:02:51
英雄祭,"军旅剧
/
年代剧",1.82亿,"84,014","40,235",6.8,2015-10-1 1:02:53
仙侠剑未删减版,"言情剧

/
武侠剧

/
古装剧",683万,"4,643","2,574",6.4,2015/10/1 1:02:51
美剧,"罪案剧
/
悬疑剧",242万,"4,428","1,727",7.2,2015-10-1 1:02:51
小爸妈未删减版,"家庭剧

/
言情剧

/
偶像剧",3208万,"26,033","9,617",7.3,2015-10-1 1:02:52
致匆匆那些年,"言情剧

/
青春剧

/
网络剧",658万,"26,095","2,462",9.1,2015-10-1 1:02:58
飞虎队,"年代剧

/
军旅剧",705万,"6,375","3,477",6.5,2015-10-1 1:02:57
你是我的姐妹,言情剧,7.87亿,"426,126","141,514",7.5,2015-10-1 1:03:04
爱情不打烊,言情剧,4099万,"18,694","6,627",7.4,2015/10/1 1:03:04
生死兄弟情,军旅剧,2654万,"5,277","4,606",5.3,2015-10-1 1:03:04
生死连,军旅剧,3.23亿,"74,570","28,270",7.3,2015-10-1 1:03:05
花千骨,"言情剧
/
古装剧
/
偶像剧",67.09亿,"8,434,879","1,773,166",8.3,2015-10-1 1:03:10
香火,家庭剧,8114万,"35,654","4,324",8.9,2015-10-1 1:03:05
闪亮茗天,"青春剧
/
言情剧",5.45亿,"234,748","48,041",8.3,2015-10-1 1:03:06
少年四大名捕杨洋特辑,"古装剧
/
偶像剧
/
悬疑剧",566万,"18,912",510,9.7,2015/10/1 1:03:17
少年四大名捕茅子俊cut集锦,"言情剧
/
武侠剧
/
古装剧
/
偶像剧
/
悬疑剧",303万,"1,884",922,6.7,2015-10-1 1:03:17
西游之妖怪别跑,"喜剧
/
网络剧",1050万,"14,585","5,432",7.3,2015-10-1 1:03:18
大道通天,年代剧,2090万,"11,615","5,245",6.9,2015-10-1 1:03:11
校花的贴身高手,"青春剧
/
言情剧
/
网络剧
/
偶像剧",7.74亿,"2,379,418","504,360",8.3,2015-10-1 1:03:23
少年四大名捕未删减版,"悬疑剧
/
偶像剧
/
言情剧
/
武侠剧
/
古装剧",1.33亿,"50,310","5,261",9.1,2015-10-1 1:03:18
少年四大名捕,"言情剧
/
武侠剧
/
古装剧
/
偶像剧
/
悬疑剧",12.89亿,"924,680","119,791",8.9,2015-10-1 1:03:18
后海不是海,"家庭剧

/
言情剧",1.19亿,"29,888","12,499",7.1,2015-10-1 1:03:24
特警力量未删减版,"罪案剧

/
军旅剧",5147万,"25,207","7,443",7.7,2015-10-1 1:03:19
妻子的谎言,言情剧,12.66亿,"551,150","115,583",8.3,2015/10/1 1:03:30
东北剿匪记,null,1.35亿,"19,715","7,135",7.3,2015-10-1 1:03:30
历史永远铭记,"历史剧

/
年代剧

/
军旅剧",263万,"2,517","1,058",7.0,2015-10-1 1:03:19
妻子的谎言未删减版,言情剧,1.04亿,"35,192","4,555",8.9,2015-10-1 1:03:31
怒放,军旅剧,9960万,"23,766","7,477",7.6,2015-10-1 1:03:36
边关烽火情,null,7619万,"11,633","3,340",7.8,2015-10-1 1:03:31
兵变1929,"年代剧

/
谍战剧",5593万,"15,776","5,370",7.5,2015-10-1 1:03:45
办公室大爆炸,喜剧,418万,"2,978","2,086",5.9,2015-10-1 1:03:31
敢爱,"青春剧

/
言情剧",2.10亿,"98,813","45,258",6.9,2015-10-1 1:03:44
完美案件,"网络剧
/
悬疑剧",929万,"8,477","2,311",7.9,2015-10-1 1:03:37
冤家亲家,家庭剧,2220万,"7,807","2,630",7.5,2015-10-1 1:03:44
婆媳的战国时代,"言情剧

/
家庭剧",2.04亿,"45,399","26,578",6.3,2015-10-1 1:03:32
信访局长,null,847万,"1,848","1,374",5.7,2015-10-1 1:03:45
平凡的世界,农村剧,4.73亿,"275,306","49,201",8.5,2015-10-1 1:03:43
隋唐英雄5,古装剧,1.52亿,"98,560","20,151",8.3,2015/10/1 1:03:43
花千骨未删减版,"言情剧
/
古装剧
/
偶像剧",3.97亿,"267,550","86,458",7.6,2015-10-1 1:03:32
绝命追踪,悬疑剧,6541万,"73,696","2,704",9.6,2015-10-1 1:03:46
侯天明的梦,"青春剧

/
喜剧",1592万,"3,578","1,800",6.7,2015-10-1 1:03:49
天使的城,言情剧,4.19亿,"207,100","28,702",8.8,2015-10-1 1:04:02
冤家亲家,家庭剧,2220万,"7,807","2,630",7.5,2015-10-1 1:03:57
当人心遇上仁心,"家庭剧

/
言情剧",3782万,"10,096","3,802",7.3,2015-10-1 1:03:58
何以笙箫默,"青春剧
/
言情剧
/
偶像剧",22.10亿,"2,100,268","226,831",9.0,2015-10-1 1:03:57
青春正能量之我是女神,"青春剧

/
偶像剧",1.46亿,"84,739","12,692",8.7,2015-10-1 1:03:58
急诊室故事,null,6703万,"40,264","5,480",8.8,2015-10-1 1:03:56
暖男的爱情与战争,家庭剧,3112万,"6,379","3,480",6.5,2015-10-1 1:03:50
淑女之家,"家庭剧
/
言情剧
/
年代剧
/
悬疑剧",1.45亿,"122,024","16,524",8.8,2015-10-1 1:04:03
爱你不放手,"家庭剧

/
言情剧",4259万,"13,265","5,782",7.0,2015/10/1 1:03:56
茗天闪亮,"青春剧

/
言情剧",2216万,"17,341","3,605",8.3,2015-10-1 1:04:00
爱情公寓番外篇,网络剧,2.38亿,"201,245","27,628",8.8,2015-10-1 1:04:13
石敢当之雄峙天东,"武侠剧
/
古装剧",3.82亿,"202,647","59,202",7.7,2015-10-1 1:04:15
男神经,"喜剧
/
网络剧",1198万,"6,533","1,695",7.9,2015-10-1 1:04:26
血刃,"军旅剧

/
谍战剧",7969万,"14,939","6,509",7.0,2015-10-1 1:04:16
白衣校花与大长腿2番外篇,"言情剧

/
偶像剧",1056万,"17,868","8,350",6.8,2015-10-1 1:04:28
青春集结号未删减版,"青春剧
/
军旅剧","85,128",210,68,7.6,2015-10-1 1:04:33
还珠格格2015,"古装剧

/
喜剧

/
网络剧",923万,"27,679","29,552",4.8,2015-10-1 1:04:36
花千骨2015,"穿越剧
/
言情剧
/
网络剧",5.68亿,"1,519,178","449,125",7.7,2015-10-1 1:04:39
天局,"武侠剧
/
古装剧
/
悬疑剧
/
网络剧",3843万,"43,305","3,905",9.2,2015-10-1 1:04:40
嘿！真不是闹着玩的,"喜剧

/
农村剧",7317万,"42,355","8,365",8.4,2015-10-1 1:04:39
笑时代,"喜剧

/
粤语电视剧",220万,"3,589","4,385",4.5,2015-10-1 1:04:42
活着再见,"悬疑剧
/
罪案剧
/
网络剧",1128万,"15,376","8,234",6.5,2015-10-1 1:04:44
云中歌,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",4.22亿,"739,908","162,124",8.2,2015-10-1 1:04:44
刺蝶,"军旅剧

/
谍战剧

/
悬疑剧",8786万,"45,475","17,971",7.2,2015-10-1 1:04:46
最佳前男友,"言情剧
/
偶像剧",6.01亿,"614,705","99,888",8.6,2015-10-1 1:04:49
鸳鸯佩,"言情剧

/
年代剧",2.76亿,"265,799","99,889",7.3,2015-10-1 1:04:52
二胎时代未删减版,"言情剧

/
家庭剧",2347万,"24,965","3,157",8.9,2015-10-1 1:04:53
我的媳妇是女王,言情剧,2.42亿,"284,425","54,880",8.4,2015-10-1 1:04:55
二胎时代,"家庭剧
/
言情剧",2.60亿,"342,818","57,252",8.6,2015-10-1 1:04:57
神犬小七,偶像剧,5.07亿,"1,494,324","129,851",9.2,2015-10-1 1:04:57
大汉情缘之云中歌未删减版,"宫廷剧
/
言情剧
/
古装剧
/
偶像剧",2359万,"40,587","5,938",8.7,2015-10-1 1:04:52
少年神探狄仁杰,"古装剧
/
悬疑剧",3.90亿,"657,967","75,835",9.0,2015-10-1 1:04:59
我的青春道馆,"网络剧
/
喜剧",172万,"1,847",846,6.9,2015-10-1 1:04:53
神犬小七未删减版,偶像剧,2493万,"64,928","7,425",9.0,2015-10-1 1:05:05
冰与火的青春,"青春剧
/
言情剧
/
偶像剧",6.65亿,"788,572","196,405",8.0,2015-10-1 1:05:02
加油吧实习生,"青春剧
/
言情剧
/
偶像剧",16.33亿,"3,142,730","440,925",8.8,2015-10-1 1:05:05
加油吧实习生未删减版,"偶像剧

/
言情剧

/
青春剧",7466万,"161,504","29,857",8.4,2015-10-1 1:05:06
东北抗日联军,军旅剧,7984万,"27,129","12,467",6.9,2015-10-1 1:05:09
妈妈向前冲,"家庭剧

/
言情剧",1.48亿,"69,205","37,601",6.5,2015-10-1 1:05:10
仙侠剑,"言情剧

/
武侠剧

/
古装剧",2.27亿,"154,485","81,175",6.6,2015-10-1 1:05:10
null,null,null,null,null,null,2015-10-1 1:05:12
伪装者,"悬疑剧
/
谍战剧",10.62亿,"1,277,213","136,441",9.0,2015-10-1 1:05:18
发明大师,"喜剧
/
网络剧
/
科幻剧",1.41亿,"20,930","3,173",8.7,2015-10-1 1:05:15
两生花,"言情剧
/
偶像剧",6.76亿,"269,209","113,138",7.0,2015-10-1 1:05:18
特警力量,"罪案剧
/
军旅剧",20.21亿,"643,773","72,760",9.0,2015-10-1 1:05:25
国产大英雄,"喜剧

/
网络剧",502万,"3,435","2,648",5.6,2015-10-1 1:05:19
海上孟府,"年代剧

/
言情剧",1.30亿,"31,489","11,141",7.4,2015-10-1 1:05:22
学堂故事,"喜剧
/
网络剧",509万,"1,725","1,858",4.8,2015-10-1 1:05:19
妈妈向前冲,"家庭剧

/
言情剧",1.48亿,"69,205","37,601",6.5,2015-10-1 1:05:23
烧脑,"网络剧
/
偶像剧",326万,"1,735","1,439",5.5,2015-10-1 1:05:23
英雄戟之影子战士,"谍战剧

/
悬疑剧",1.22亿,"65,674","19,655",7.7,2015-10-1 1:05:31
聊斋新编,"神话剧
/
古装剧",4.57亿,"154,599","39,850",8.0,2015-10-1 1:05:28
虎妈猫爸,"喜剧
/
青春剧
/
家庭剧
/
言情剧
/
偶像剧",17.04亿,"567,971","133,374",8.1,2015-10-1 1:05:31
爱你一生,"年代剧

/
言情剧",5254万,"10,050","4,340",7.0,2015-10-1 1:05:32
于无声处,"罪案剧
/
年代剧",1.31亿,"30,248","8,446",7.8,2015-10-1 1:05:35
聊斋新编未删减版,"神话剧

/
古装剧",4914万,"13,008","2,755",8.3,2015-10-1 1:05:36
劫中劫,谍战剧,8735万,"16,353","7,251",6.9,2015-10-1 1:05:32
我的抗战之铁血轻奇兵,军旅剧,1.06亿,"20,674","5,811",7.8,2015-10-1 1:05:36
寒冬,"谍战剧
/
年代剧",9676万,"29,925","4,645",8.7,2015-10-1 1:05:38
嘿，老头！,null,2.76亿,"148,376","20,864",8.8,2015-10-1 1:05:41
麻雀春天,"悬疑剧

/
年代剧

/
言情剧",3806万,"7,503","3,419",6.9,2015-10-1 1:05:44
快乐00后第2季,网络剧,135万,"1,337",804,6.2,2015-10-1 1:05:46
坐88路车回家,言情剧,7932万,"16,673","4,549",7.9,2015-10-1 1:05:45
马上天下,军旅剧,1.43亿,"34,932","14,471",7.1,2015-10-1 1:05:45
离婚协议,null,3965万,"8,751","4,961",6.4,2015-10-1 1:05:58
快乐00后第1季,网络剧,117万,"1,138",579,6.6,2015-10-1 1:05:54
猜拳,"悬疑剧

/
谍战剧",6983万,"10,739","5,041",6.8,2015-10-1 1:05:48
我的美女老师,"青春剧
/
偶像剧
/
科幻剧
/
言情剧
/
网络剧",2.25亿,"197,866","53,868",7.9,2015-10-1 1:05:49
我的二哥二嫂,"农村剧

/
年代剧

/
家庭剧",2.39亿,"54,906","23,013",7.0,2015-10-1 1:05:49
铁核桃,"年代剧

/
谍战剧",2.46亿,"55,454","18,466",7.5,2015-10-1 1:05:58
好男儿之情感护理,null,3238万,"12,675","3,012",8.1,2015-10-1 1:05:51
家有一老,家庭剧,6431万,"23,261","10,264",6.9,2015-10-1 1:05:57
女人的抗战未删减版,谍战剧,794万,"1,534","1,131",5.8,2015-10-1 1:06:11
活色生香陈伟霆cut集锦,"言情剧
/
年代剧
/
偶像剧",151万,"3,192",711,8.2,2015-10-1 1:05:59
白衣校花与大长腿2,"青春剧
/
言情剧
/
偶像剧",2.07亿,"219,766","64,362",7.7,2015-10-1 1:06:04
李大白的道德经,"喜剧
/
网络剧",76.4万,550,377,5.9,2015-10-1 1:06:01
东江英雄刘黑仔,"青春剧

/
谍战剧",1.46亿,"46,225","9,260",8.3,2015-10-1 1:06:08
活色生香未删减版,"偶像剧
/
年代剧
/
言情剧
/
青春剧",2.81亿,"62,108","11,527",8.4,2015-10-1 1:06:02
活色生香,"青春剧
/
言情剧
/
年代剧
/
偶像剧",8.25亿,"1,055,565","112,765",9.0,2015-10-1 1:06:03
成人记2,"偶像剧
/
网络剧
/
青春剧",396万,"4,857","1,711",7.4,2015-10-1 1:06:10
好大一个家,家庭剧,1.28亿,"60,136","11,978",8.3,2015-10-1 1:06:11
出关,null,4448万,"9,726","4,232",7.0,2015-10-1 1:06:24
生死血符,年代剧,2753万,"17,448","5,714",7.5,2015-10-1 1:06:25
伪装者未删减版,"谍战剧
/
悬疑剧",4745万,"48,187","6,490",8.8,2015-10-1 1:06:30
地雷战,"军旅剧

/
历史剧",2.01亿,"126,000","32,333",8.0,2015-10-1 1:06:34
我的天啊第2季,"喜剧

/
网络剧",360万,"1,270","3,223",2.8,2015-10-1 1:06:37
地下地上之大陆小岛,"谍战剧

/
军旅剧",4070万,"22,317","6,208",7.8,2015-10-1 1:06:37
涩世纪传说,"青春剧
/
言情剧
/
网络剧
/
偶像剧
/
科幻剧",4.82亿,"1,613,324","132,256",9.2,2015-10-1 1:06:38
千金女贼,"言情剧
/
年代剧
/
偶像剧",13.98亿,"978,826","155,356",8.6,2015-10-1 1:06:37
终极对决,军旅剧,1.35亿,"83,897","32,159",7.2,2015-10-1 1:06:37
南侨机工英雄传,年代剧,4904万,"31,551","8,308",7.9,2015-10-1 1:06:40
彩虹营业厅,"喜剧

/
网络剧",226万,"5,241","2,612",6.7,2015-10-1 1:06:35
春江英雄之秀才遇到兵,"言情剧
/
谍战剧",5.95亿,"716,735","98,330",8.8,2015-10-1 1:06:43
美剧,"喜剧
/
罪案剧",735万,"10,383","4,108",7.2,2015-10-1 1:06:50
错伏,谍战剧,2311万,"8,829","4,291",6.7,2015-10-1 1:06:51
星空中的潘朵拉,"言情剧
/
偶像剧
/
网络剧",474万,"4,662","4,028",5.4,2015-10-1 1:06:50
红色青橄榄,"青春剧

/
网络剧

/
偶像剧

/
悬疑剧",1183万,"74,510",544,9.9,2015-10-1 1:06:53
淑女涩男,青春剧,1.76亿,"65,533","8,662",8.8,2015-10-1 1:06:56
克拉恋人,"青春剧
/
言情剧
/
偶像剧",28.11亿,"5,313,487","939,076",8.5,2015-10-1 1:06:49
铁甲舰上的男人们DVD版,历史剧,104万,674,299,6.9,2015-10-1 1:06:48
克拉之恋,"青春剧

/
言情剧

/
偶像剧",7444万,"202,842","28,028",8.8,2015-10-1 1:06:50
我的宝贝,"言情剧
/
偶像剧",3.21亿,"184,916","51,999",7.8,2015-10-1 1:07:03
今天很上火之奇葩相亲,"喜剧

/
网络剧",556万,"2,439","2,383",5.1,2015-10-1 1:07:02
爸爸父亲爹,"军旅剧
/
谍战剧",1.35亿,"59,752","22,778",7.2,2015-10-1 1:07:01
玩的就是艳遇,"喜剧

/
青春剧

/
网络剧",520万,"7,786","5,953",5.7,2015-10-1 1:07:03
蜀山战纪第1季,"言情剧
/
武侠剧
/
古装剧
/
偶像剧",1.05亿,"551,572","92,435",8.6,2015-10-1 1:07:06
抉择,历史剧,2651万,"8,255","3,704",6.9,2015-10-1 1:07:03
壮丁也是兵,军旅剧,2.25亿,"45,327","17,904",7.2,2015-10-1 1:07:04
罗龙镇女人,年代剧,2.68亿,"77,415","27,708",7.4,2015-10-1 1:07:06
前夫求爱记未删减版,喜剧,1580万,"4,325","1,771",7.1,2015-10-1 1:07:09
前夫求爱记,"喜剧
/
言情剧",1.92亿,"56,403","17,289",7.7,2015-10-1 1:07:15
空巢姥爷,"家庭剧

/
言情剧",3521万,"10,339","3,171",7.7,2015-10-1 1:07:14
待嫁老爸,"言情剧

/
家庭剧",1.26亿,"33,732","6,822",8.3,2015-10-1 1:07:16
太行山上,"历史剧

/
军旅剧",9690万,"61,871","18,077",7.7,2015-10-1 1:07:19
二婶,"家庭剧
/
言情剧",9572万,"22,668","10,769",6.8,2015-10-1 1:07:16
下一站婚姻,"家庭剧
/
言情剧",4.43亿,"118,213","38,629",7.5,2015-10-1 1:07:17
玩转APP,"喜剧

/
网络剧",1941万,421,349,5.5,2015-10-1 1:07:16
傲魂之活死人,"网络剧

/
悬疑剧",3769万,"11,373","1,756",8.7,2015-10-1 1:07:22
刑警队长,罪案剧,2.81亿,"78,232","17,697",8.2,2015-10-1 1:07:19
律师岳家军,网络剧,537万,"1,597",790,6.7,2015-10-1 1:07:27
女人的抗战,谍战剧,7490万,"12,173","3,414",7.8,2015-10-1 1:07:30
出关未删减版,null,528万,"1,024",562,6.5,2015-10-1 1:07:29
别让我看见,"言情剧

/
悬疑剧",5737万,"24,812","5,255",8.3,2015-10-1 1:07:31
婚前协议,"家庭剧

/
言情剧",1.46亿,"29,807","16,390",6.5,2015-10-1 1:07:29
泪洒女人花,"言情剧

/
年代剧",2.00亿,"61,062","39,012",6.1,2015-10-1 1:07:35
末代皇帝传奇,"历史剧

/
宫廷剧",7825万,"24,868","4,716",8.4,2015-10-1 1:07:28
爱的秘笈,"偶像剧

/
言情剧",1.23亿,"53,026","6,083",9.0,2015-10-1 1:07:32
火线英雄,军旅剧,2768万,"15,556","4,286",7.8,2015-10-1 1:07:32
大村官之放飞梦想,农村剧,5294万,"16,981","6,122",7.4,2015-10-1 1:07:42
突围突围,言情剧,8098万,"20,073","7,545",7.3,2015-10-1 1:07:43
如果爱可以重来,"言情剧
/
偶像剧",7134万,"38,952","12,200",7.6,2015-10-1 1:07:45
锦绣缘华丽冒险未删减版,"言情剧

/
年代剧

/
偶像剧",3229万,"18,477","4,592",8.0,2015-10-1 1:07:41
不能没有家,"家庭剧

/
言情剧",2790万,"7,243","3,621",6.7,2015-10-1 1:07:40
九星天辰诀,"古装剧
/
网络剧",3031万,"30,063","21,420",5.8,2015-10-1 1:07:43
抓住彩虹的男人,"言情剧
/
偶像剧
/
悬疑剧",5.97亿,"254,434","65,463",8.0,2015-10-1 1:07:46
千金女贼未删减版,"年代剧

/
偶像剧",3987万,"31,802","8,085",8.0,2015-10-1 1:07:44
长大,"青春剧
/
言情剧",4.20亿,"387,696","52,185",8.8,2015-10-1 1:07:54
战魂,军旅剧,1.35亿,"39,464","9,312",8.1,2015-10-1 1:07:53
光影,"军旅剧

/
年代剧",1.67亿,"49,409","15,205",7.6,2015-10-1 1:07:48
大刀记,军旅剧,2.69亿,"59,875","22,117",7.3,2015-10-1 1:07:56
伙伴夫妻,"言情剧

/
家庭剧",6518万,"10,352","5,202",6.7,2015-10-1 1:07:59
猎魔,"军旅剧

/
历史剧

/
谍战剧",5822万,"12,023","6,952",6.3,2015-10-1 1:07:56
